aX,aY,aZ,gX,gY,gZ
1.316,-1.037,0.241,-67.261,-38.574,42.297
1.329,-1.060,0.244,-87.402,-52.673,64.758
1.339,-1.081,0.241,-105.774,-63.660,77.881
1.346,-1.076,0.232,-129.089,-74.829,91.492
1.355,-1.059,0.207,-189.270,-87.708,118.286
1.342,-0.958,0.144,-200.195,-90.149,128.601
1.336,-0.900,0.129,-183.228,-93.445,138.916
1.348,-0.811,0.121,-174.805,-94.055,142.090
1.356,-0.771,0.111,-163.635,-97.717,148.987
1.376,-0.704,0.085,-166.199,-103.638,154.907
1.374,-0.660,0.065,-172.974,-112.427,163.086
1.358,-0.604,0.049,-179.138,-126.221,178.040
1.313,-0.448,0.072,-177.063,-128.296,182.129
1.310,-0.379,0.097,-174.805,-129.761,186.768
1.329,-0.318,0.130,-178.650,-130.432,190.796
1.310,-0.279,0.137,-181.580,-128.601,197.266
1.210,-0.149,0.075,-166.565,-114.014,208.435
1.152,-0.063,0.021,-146.484,-104.309,208.984
1.105,0.005,-0.030,-116.943,-99.060,210.388
1.058,0.074,-0.164,-122.681,-111.023,217.773
1.026,0.117,-0.233,-139.648,-157.898,242.493
0.905,0.249,-0.213,-139.221,-179.016,252.502
0.833,0.317,-0.134,-135.559,-191.528,259.827
0.751,0.386,-0.079,-125.977,-195.679,271.057
0.553,0.518,-0.060,-121.826,-194.275,276.306
0.442,0.586,-0.062,-113.770,-195.984,284.851
0.231,0.706,-0.065,-110.474,-199.341,284.912
0.144,0.754,-0.072,-107.361,-209.351,275.818
0.002,0.797,-0.067,-111.023,-216.614,268.372
-0.058,0.768,-0.041,-119.385,-224.487,260.986
-0.105,0.716,-0.003,-129.456,-234.192,248.779
-0.203,0.662,0.094,-126.587,-232.544,244.019
-0.249,0.659,0.121,-118.713,-217.712,232.056
-0.301,0.661,0.094,-115.601,-206.726,221.374
-0.313,0.658,0.067,-106.628,-179.871,188.538
-0.330,0.590,0.034,-101.807,-162.964,168.457
-0.318,0.540,0.004,-97.412,-143.250,148.560
-0.302,0.492,-0.037,-85.144,-104.065,115.417
-0.283,0.429,-0.099,-75.989,-90.393,101.929
-0.278,0.407,-0.106,-63.416,-71.289,80.383
-0.297,0.394,-0.140,-59.631,-63.110,71.960
-0.325,0.415,-0.169,-47.241,-44.189,56.519
-0.408,0.507,-0.263,-41.626,-32.715,48.279
-0.444,0.560,-0.299,-35.522,-21.851,38.513
-0.466,0.601,-0.306,-20.569,-2.136,13.794
-0.483,0.636,-0.263,-15.442,6.592,1.892
-0.499,0.663,-0.239,-16.296,21.301,-13.428
-0.561,0.764,-0.252,-21.667,29.480,-17.395
-0.597,0.833,-0.296,-27.100,52.002,-26.672
-0.653,0.986,-0.434,-25.269,65.735,-33.997
-0.673,1.059,-0.512,-23.254,78.003,-42.664
-0.686,1.129,-0.570,-18.555,92.529,-63.721
-0.687,1.240,-0.595,-17.578,97.900,-75.989
-0.674,1.271,-0.575,-21.301,111.755,-100.891
-0.644,1.307,-0.541,-26.306,121.948,-111.816
-0.628,1.338,-0.549,-35.339,153.748,-133.362
-0.571,1.402,-0.640,-39.673,176.697,-146.240
-0.535,1.406,-0.720,-45.105,202.698,-161.011
-0.510,1.378,-0.810,-58.899,247.314,-191.223
-0.470,1.274,-1.020,-68.726,258.484,-205.261
-0.435,1.254,-1.121,-82.703,263.855,-231.445
-0.422,1.281,-1.269,-80.078,268.982,-245.483
-0.458,1.252,-1.368,-82.886,292.297,-283.447
-0.554,1.033,-1.722,-98.267,295.776,-307.068
-0.632,0.889,-1.916,-114.746,289.307,-333.923
-0.736,0.711,-2.111,-123.413,268.372,-411.133
-0.969,0.131,-2.543,-118.774,260.803,-469.177
-1.097,-0.396,-2.877,-116.272,248.840,-637.024
-0.998,-2.645,-3.850,-105.835,232.544,-738.647
-0.584,-3.849,-4.000,54.749,91.736,-862.610
0.850,-4.000,-3.969,190.918,-46.814,-824.402
1.657,-4.000,-3.536,369.080,-388.855,-506.042
2.205,-3.967,-1.355,392.944,-535.339,-276.306
1.894,-3.991,-0.043,407.593,-627.563,-55.542
1.410,-4.000,1.074,483.093,-615.479,254.883
0.323,-4.000,2.798,514.893,-556.458,342.163
-0.107,-3.999,3.506,466.248,-445.068,435.303
-0.618,-4.000,4.000,397.705,-374.268,463.562
-0.786,-4.000,3.973,340.759,-282.776,484.680
-0.973,-4.000,3.877,329.834,-128.235,520.752
-1.477,-3.994,3.977,331.360,-100.464,544.373
-1.727,-3.894,3.941,263.428,-91.919,594.604
-2.093,-3.242,3.469,220.398,-85.876,610.535
-2.174,-2.891,3.195,160.706,-67.017,610.229
-2.270,-2.276,2.765,141.785,-57.312,600.525
-2.325,-1.939,2.665,132.324,-48.889,588.806
-2.369,-1.604,2.663,120.605,-36.377,550.903
-2.406,-0.998,2.843,101.746,-29.297,521.851
-2.377,-0.772,2.881,32.227,-0.610,448.669
-2.244,-0.575,2.615,-0.732,30.151,409.973
-2.154,-0.502,2.363,-16.724,70.374,373.047
-2.030,-0.381,2.106,0.916,144.409,307.373
-1.654,-0.068,1.715,19.165,158.386,278.320
