aX,aY,aZ,gX,gY,gZ
-0.990,-1.207,-1.023,-30.884,139.832,-83.252
-1.178,-1.278,-1.125,-44.250,112.732,-89.783
-1.545,-1.500,-1.362,-47.668,87.158,-92.651
-1.708,-1.680,-1.486,-38.086,9.399,-94.238
-1.940,-2.091,-1.630,-25.696,-41.687,-91.064
-1.987,-2.248,-1.577,-6.470,-99.976,-84.167
-1.998,-2.366,-1.464,40.527,-221.558,-59.387
-1.921,-2.449,-1.353,63.477,-282.837,-43.457
-1.913,-2.494,-1.363,112.427,-433.655,-12.451
-2.386,-2.944,-1.118,149.292,-530.579,8.667
-2.771,-3.180,-0.800,283.264,-741.821,85.999
-3.496,-3.143,0.069,355.225,-842.590,118.591
-3.822,-2.956,0.500,400.940,-932.800,127.014
-4.000,-2.770,0.927,408.325,-1041.016,79.041
-3.839,-2.486,1.497,386.047,-1039.246,43.091
-3.533,-2.283,1.533,300.903,-940.185,-3.174
-2.843,-1.786,1.363,248.047,-874.329,-6.409
-2.523,-1.557,1.276,152.039,-754.272,8.118
-1.957,-1.244,1.179,116.211,-700.745,12.634
-1.658,-1.174,1.136,85.083,-642.578,12.390
-1.363,-1.176,1.061,37.964,-494.080,17.944
-0.907,-1.274,0.766,23.682,-417.847,33.630
-0.817,-1.276,0.620,-2.930,-319.763,84.839
-0.751,-1.122,0.556,-9.521,-299.377,107.300
-0.716,-1.016,0.601,-6.958,-271.851,129.456
-0.645,-0.844,0.690,-1.953,-253.113,130.127
-0.583,-0.806,0.715,-0.183,-230.774,126.648
-0.511,-0.786,0.731,-9.644,-186.645,120.361
-0.412,-0.740,0.741,-11.841,-168.945,120.544
-0.393,-0.711,0.734,-2.014,-145.996,117.432
-0.318,-0.675,0.744,8.484,-138.428,110.779
-0.250,-0.678,0.778,12.268,-120.728,95.825
-0.103,-0.692,0.863,4.578,-108.093,91.980
-0.040,-0.678,0.891,-3.540,-92.896,91.614
0.009,-0.641,0.891,-14.709,-57.617,93.079
0.069,-0.623,0.797,-19.653,-39.063,90.698
0.100,-0.644,0.729,-28.625,-16.235,83.801
0.145,-0.645,0.613,-25.574,-15.381,81.543
0.158,-0.627,0.578,-17.212,-19.470,79.102
0.176,-0.605,0.574,3.357,-32.654,70.068
0.235,-0.553,0.630,12.512,-36.377,64.392
0.259,-0.522,0.667,29.663,-30.640,53.711
0.282,-0.478,0.722,37.109,-23.132,47.974
0.299,-0.471,0.734,41.504,-12.695,36.743
0.348,-0.463,0.751,37.476,-12.024,32.837
0.370,-0.461,0.752,30.701,-12.390,29.480
0.390,-0.470,0.742,18.494,-5.981,19.897
0.444,-0.512,0.698,20.813,2.319,14.648
0.468,-0.522,0.673,35.889,24.292,6.226
0.499,-0.536,0.613,40.955,33.691,2.441
0.517,-0.555,0.590,43.701,39.063,-0.977
0.542,-0.579,0.574,45.959,38.208,-4.028
0.586,-0.606,0.548,44.373,34.363,-4.028
0.597,-0.612,0.545,37.781,27.649,-4.700
0.613,-0.622,0.547,33.936,26.611,-5.371
0.616,-0.618,0.543,30.640,27.466,-5.798
0.618,-0.610,0.528,31.189,35.828,-6.348
0.630,-0.594,0.458,35.583,41.687,-5.859
0.636,-0.591,0.411,50.232,45.166,-3.906
0.660,-0.597,0.339,59.265,39.246,-4.211
0.679,-0.612,0.332,77.515,16.968,-11.963
0.717,-0.673,0.373,84.717,6.409,-19.409
0.734,-0.703,0.388,95.459,-0.061,-26.184
0.744,-0.727,0.406,142.395,-1.160,-27.954
0.736,-0.760,0.400,158.936,4.639,-24.475
0.732,-0.768,0.374,171.692,17.456,-17.212
0.736,-0.810,0.332,164.429,19.714,-13.916
0.735,-0.816,0.314,152.588,18.982,-10.254
0.731,-0.805,0.295,116.943,16.296,-3.845
0.720,-0.775,0.232,98.022,15.686,-3.418
0.712,-0.771,0.211,72.815,13.672,-6.226
0.692,-0.783,0.193,63.171,13.000,-7.385
0.685,-0.786,0.184,54.565,12.939,-7.751
0.681,-0.784,0.176,39.001,12.756,-7.568
0.681,-0.782,0.178,30.212,12.146,-7.507
0.682,-0.786,0.183,14.160,12.268,-6.470
0.673,-0.779,0.192,8.850,13.611,-5.371
0.670,-0.767,0.194,1.953,18.066,-3.845
0.673,-0.747,0.193,-2.380,19.348,-4.272
0.678,-0.755,0.191,-9.094,19.287,-5.493
0.683,-0.774,0.187,-25.574,15.869,-7.202
0.691,-0.798,0.185,-33.569,13.000,-7.141
0.694,-0.799,0.194,-49.316,7.446,-5.554
0.698,-0.789,0.213,-53.833,5.859,-4.150
0.698,-0.789,0.217,-54.749,5.127,-2.686
0.699,-0.794,0.219,-54.993,3.296,-0.916
0.699,-0.802,0.240,-54.260,0.916,-0.549
0.696,-0.804,0.260,-48.584,-2.625,-0.366
0.688,-0.815,0.275,-45.410,-1.953,-0.427
0.683,-0.817,0.270,-39.246,1.038,-0.061
0.660,-0.798,0.269,-35.950,1.770,0.671
0.647,-0.782,0.274,-33.203,2.014,1.343
0.638,-0.769,0.274,-29.724,2.808,1.404
0.628,-0.757,0.260,-27.954,4.272,1.160
0.623,-0.748,0.250,-22.034,7.446,0.671
0.609,-0.731,0.237,-19.958,7.202,-0.183
0.607,-0.729,0.240,-18.677,5.859,-1.404
0.609,-0.730,0.245,-16.113,4.883,-2.930
0.615,-0.730,0.240,-15.259,6.287,-2.930
0.613,-0.727,0.233,-8.911,8.179,-3.052
0.612,-0.725,0.220,-5.432,7.874,-3.113
0.614,-0.725,0.220,-5.798,4.211,-4.272
0.618,-0.733,0.229,-7.202,3.235,-5.432
0.622,-0.736,0.231,-8.667,3.479,-6.287
0.623,-0.735,0.233,-9.583,4.333,-6.287
0.625,-0.732,0.237,-7.507,4.822,-5.737
0.627,-0.733,0.238,-4.333,5.676,-5.188
0.632,-0.733,0.240,-5.432,6.104,-5.493
0.635,-0.735,0.242,-7.507,6.531,-6.531
