aX,aY,aZ,gX,gY,gZ
-0.792,-1.531,0.796,-54.871,168.518,-207.947
-0.928,-1.750,0.749,-86.487,250.610,-195.862
-1.180,-2.296,0.682,-109.375,290.222,-183.777
-1.306,-2.642,0.662,-134.399,395.447,-129.761
-1.732,-3.187,0.396,-148.499,459.656,-86.975
-2.023,-3.375,0.101,-177.734,518.066,-41.138
-2.387,-3.540,-0.139,-257.935,606.506,36.255
-3.093,-3.963,-0.997,-290.833,647.644,61.768
-3.281,-4.000,-1.673,-352.966,687.927,113.892
-3.670,-4.000,-2.409,-391.602,682.373,150.513
-3.914,-3.994,-2.654,-491.150,688.171,209.473
-4.000,-3.998,-3.709,-527.771,699.036,238.525
-4.000,-4.000,-4.000,-542.297,703.369,272.766
-3.996,-4.000,-4.000,-502.808,700.256,354.431
-3.997,-4.000,-3.769,-450.928,705.872,411.560
-4.000,-4.000,-3.600,-298.950,754.883,579.285
-4.000,-4.000,-3.880,-249.939,754.761,649.719
-4.000,-3.969,-4.000,-293.030,602.417,680.176
-3.788,-3.165,-3.975,-352.173,473.450,643.249
-3.337,-2.592,-3.835,-388.367,357.910,578.613
-2.642,-2.665,-3.750,-339.478,215.698,421.387
-1.943,-3.596,-2.940,-291.321,147.888,411.438
-2.011,-3.286,-2.558,-249.939,80.688,466.736
-1.933,-1.820,-3.065,-232.544,81.299,470.032
-1.702,-1.387,-3.608,-169.983,38.086,393.799
-1.436,-1.201,-3.751,-133.362,-24.353,349.609
-1.453,-1.149,-3.214,-104.187,-94.971,315.186
-1.436,-1.120,-2.549,-88.623,-183.960,280.029
-1.285,-0.763,-1.601,-86.853,-189.758,277.832
-1.166,-0.452,-1.429,-72.632,-159.912,258.423
-0.867,-0.064,-1.158,-57.800,-146.667,240.173
-0.747,0.027,-0.963,-35.645,-136.597,206.421
-0.665,0.158,-0.419,-34.302,-135.925,195.068
-0.667,0.245,-0.124,-36.926,-128.967,185.669
-0.538,0.401,0.120,-39.185,-81.421,161.499
-0.404,0.454,-0.015,-32.349,-49.622,147.766
-0.270,0.470,-0.237,-14.648,-17.334,124.512
-0.086,0.471,-0.394,-15.808,-25.269,116.333
-0.042,0.500,-0.280,-28.687,-48.645,104.126
0.025,0.574,-0.072,-27.832,-49.438,98.755
0.062,0.608,-0.017,-22.217,-44.617,92.285
0.106,0.631,0.015,-11.780,-33.020,72.876
0.257,0.560,0.001,-7.996,-29.480,62.256
0.347,0.515,0.001,3.052,-28.687,49.194
0.460,0.580,0.168,8.667,-26.672,44.861
0.496,0.640,0.254,19.104,-8.118,28.748
0.615,0.580,0.195,20.447,2.808,18.066
0.683,0.512,0.112,20.691,9.338,10.376
0.727,0.468,0.068,25.879,12.085,5.005
0.770,0.453,0.009,31.311,12.390,3.479
0.794,0.443,-0.029,38.269,3.967,-2.014
0.861,0.349,-0.027,39.185,-4.089,-5.737
0.888,0.308,0.017,41.321,-11.475,-8.057
0.890,0.318,0.070,47.913,-20.264,-9.949
0.858,0.354,0.226,49.255,-22.766,-14.465
0.868,0.313,0.320,49.561,-20.142,-28.320
0.925,0.174,0.406,51.697,-13.367,-31.372
0.933,0.140,0.405,54.504,-4.761,-29.480
0.918,0.153,0.396,61.096,12.817,-18.982
0.909,0.221,0.212,64.514,19.714,-16.174
0.929,0.226,0.101,61.279,8.118,-19.714
0.935,0.142,0.233,57.312,-7.446,-22.949
0.910,0.100,0.418,56.396,-17.639,-24.780
0.881,0.078,0.566,62.988,-1.770,-25.085
0.901,0.079,0.463,66.833,16.968,-24.902
0.961,0.065,0.248,63.416,27.893,-24.475
1.028,0.022,0.112,58.411,15.076,-22.949
1.006,0.021,0.205,51.819,-7.996,-19.348
0.909,0.013,0.404,51.086,-8.850,-18.311
0.870,0.028,0.417,53.162,-2.808,-17.639
0.861,0.066,0.345,59.265,10.315,-20.691
0.900,0.077,0.269,55.908,5.798,-25.146
0.923,0.015,0.339,40.894,-9.399,-32.104
0.921,-0.057,0.543,37.476,-8.423,-30.823
0.900,-0.029,0.589,37.781,0.732,-27.954
0.897,0.013,0.538,41.809,28.564,-27.283
0.956,0.020,0.296,40.710,33.997,-29.968
0.976,-0.012,0.253,31.311,23.621,-34.485
0.974,-0.067,0.316,28.076,19.287,-35.278
0.975,-0.078,0.327,28.137,20.264,-35.461
0.991,-0.079,0.288,32.104,26.123,-35.583
1.037,-0.098,0.256,29.663,21.667,-35.400
1.041,-0.122,0.323,18.188,7.690,-31.372
1.013,-0.119,0.472,15.137,8.057,-27.954
0.991,-0.081,0.490,15.259,22.400,-23.071
1.006,-0.005,0.347,16.724,29.907,-23.010
1.037,-0.004,0.244,18.005,32.349,-24.231
1.055,-0.020,0.204,15.564,19.287,-25.574
1.032,-0.051,0.315,12.939,11.841,-25.208
1.005,-0.061,0.381,14.954,13.428,-23.254
0.991,-0.038,0.350,20.447,19.897,-21.667
1.004,-0.019,0.300,24.963,24.414,-21.057
1.020,-0.018,0.276,21.301,21.118,-22.888
1.057,-0.063,0.289,17.700,18.127,-23.804
1.066,-0.082,0.283,15.320,16.174,-24.048
1.070,-0.124,0.263,14.465,15.625,-23.499
1.073,-0.137,0.255,14.648,15.991,-20.935
1.088,-0.198,0.265,13.672,16.235,-18.921
1.086,-0.208,0.271,8.728,16.907,-15.503
1.072,-0.183,0.261,-2.930,20.447,-10.925
1.042,-0.147,0.255,-5.859,21.057,-11.353
1.036,-0.145,0.262,-8.362,21.667,-11.230
1.031,-0.125,0.227,-6.897,23.376,-9.888
1.029,-0.099,0.192,-3.357,24.536,-8.728
1.025,-0.083,0.171,5.371,20.813,-10.010
1.029,-0.117,0.157,9.094,17.395,-11.414
1.032,-0.146,0.161,13.245,10.376,-10.620
1.026,-0.165,0.199,12.268,7.812,-8.606
1.027,-0.164,0.197,7.507,5.371,-5.371
1.026,-0.158,0.185,5.127,2.808,-3.967
1.012,-0.135,0.204,3.296,-0.427,-2.380
0.997,-0.114,0.218,2.625,-2.808,-2.014
0.995,-0.127,0.211,2.502,-2.930,-3.235
0.993,-0.133,0.216,1.221,-4.211,-3.357
0.976,-0.121,0.224,1.404,-3.540,-3.174
0.979,-0.137,0.202,2.441,-2.136,-3.906
0.989,-0.163,0.183,4.150,-3.296,-4.578
0.989,-0.162,0.208,3.662,-5.066,-3.479
0.981,-0.145,0.225,2.014,-4.761,-2.014
0.975,-0.147,0.231,1.831,-3.235,-2.075
0.974,-0.154,0.227,4.700,0.061,-0.183
0.965,-0.127,0.223,5.554,1.709,1.038
0.965,-0.117,0.205,5.615,3.662,1.404
0.971,-0.121,0.177,4.150,4.639,0.305
0.979,-0.125,0.170,3.296,2.747,0.061
0.979,-0.118,0.190,2.625,1.648,0.000
0.983,-0.113,0.177,3.174,3.418,0.000
0.984,-0.121,0.166,4.028,4.639,-0.122
0.982,-0.125,0.169,7.324,4.700,0.854
0.975,-0.108,0.183,8.728,4.883,1.587
0.974,-0.101,0.176,10.742,6.165,0.854
0.983,-0.131,0.148,11.292,5.920,-0.305
0.984,-0.146,0.155,11.841,4.700,-0.854
0.980,-0.140,0.169,13.794,1.892,0.305
0.974,-0.128,0.167,14.038,1.343,0.000
0.979,-0.146,0.154,11.597,-0.854,-1.709
0.980,-0.161,0.179,9.949,-2.686,-1.465
0.975,-0.142,0.195,9.644,-2.808,-0.916
0.975,-0.121,0.178,10.132,-1.526,-2.014
0.982,-0.132,0.160,10.315,-0.854,-3.784
0.990,-0.156,0.153,10.071,-2.441,-6.958
1.000,-0.190,0.170,10.620,-3.662,-6.897
1.001,-0.191,0.176,11.719,-4.944,-5.493
1.000,-0.201,0.179,11.719,-5.188,-4.944
0.995,-0.200,0.188,11.658,-5.554,-4.089
0.981,-0.172,0.195,11.902,-6.226,-2.136
0.980,-0.171,0.184,11.658,-6.409,-2.319
0.981,-0.182,0.178,10.254,-8.423,-3.601
0.975,-0.195,0.207,10.010,-9.644,-3.601
0.971,-0.192,0.216,10.376,-9.583,-3.296
0.940,-1.252,-0.739,368.347,-134.338,22.339
0.964,-1.306,-0.741,379.639,-127.625,48.279
0.961,-1.266,-0.645,378.845,-124.390,59.265
0.928,-1.189,-0.636,349.548,-123.169,68.420
0.865,-1.088,-0.646,328.857,-124.329,69.458
0.839,-1.073,-0.650,308.960,-124.878,70.618
0.812,-1.077,-0.655,282.288,-122.314,76.965
0.737,-1.011,-0.681,275.940,-121.643,83.069
0.691,-0.925,-0.585,265.259,-122.131,91.064
0.678,-0.802,-0.483,253.601,-120.361,90.759
0.709,-0.785,-0.466,237.244,-119.690,89.233
0.753,-0.765,-0.465,213.196,-115.356,90.027
0.859,-0.741,-0.491,207.397,-111.511,92.285
0.908,-0.743,-0.517,203.125,-101.074,102.295
0.901,-0.669,-0.551,203.247,-97.534,109.192
0.854,-0.580,-0.509,201.782,-93.567,116.089
0.779,-0.377,-0.407,195.740,-92.590,111.267
0.772,-0.327,-0.349,186.462,-92.346,102.112
0.779,-0.311,-0.311,167.480,-89.172,83.191
0.808,-0.373,-0.186,160.767,-84.900,76.416
0.815,-0.403,-0.108,149.902,-72.449,71.594
