aX,aY,aZ,gX,gY,gZ
0.613,-1.833,-0.573,24.963,56.213,-93.262
0.669,-1.917,-0.630,2.930,28.564,-49.194
0.703,-1.787,-0.604,-12.268,12.756,-21.179
0.668,-1.594,-0.520,-43.335,-9.460,27.893
0.542,-1.132,-0.332,-50.720,-14.038,44.861
0.488,-0.944,-0.261,-50.598,-15.259,55.725
0.444,-0.799,-0.206,-43.335,-12.695,63.904
0.372,-0.594,-0.126,-42.969,-11.536,64.209
0.343,-0.521,-0.098,-42.175,-10.132,59.326
0.299,-0.425,-0.057,-40.527,-8.606,55.115
0.286,-0.392,-0.033,-38.269,-1.709,45.105
0.280,-0.351,0.005,-34.912,3.845,38.635
0.277,-0.342,0.014,-30.212,9.949,31.372
0.266,-0.341,0.010,-17.090,20.325,16.174
0.238,-0.401,-0.036,-8.728,23.804,7.446
0.237,-0.476,-0.066,10.010,29.236,-13.062
0.283,-0.726,-0.165,18.799,30.945,-22.156
0.314,-0.864,-0.231,23.376,31.311,-28.198
0.342,-0.982,-0.286,18.799,32.410,-32.898
0.378,-1.175,-0.358,17.212,34.790,-34.302
0.389,-1.279,-0.397,22.339,39.307,-38.147
0.430,-1.519,-0.459,23.437,40.466,-39.307
0.470,-1.633,-0.478,33.875,41.443,-38.513
0.551,-1.749,-0.539,41.870,38.208,-34.485
0.569,-1.722,-0.546,41.687,30.823,-26.184
0.576,-1.649,-0.520,16.174,6.042,0.122
0.558,-1.414,-0.410,2.075,-8.118,13.794
0.533,-1.268,-0.358,-18.677,-31.372,36.682
0.476,-0.976,-0.265,-29.724,-39.185,45.959
0.461,-0.854,-0.218,-38.574,-45.837,59.509
0.428,-0.645,-0.144,-32.471,-44.556,64.392
0.400,-0.542,-0.124,-25.330,-41.565,67.993
0.371,-0.445,-0.114,-18.433,-35.156,68.665
0.326,-0.300,-0.115,-18.494,-32.410,64.941
0.314,-0.255,-0.113,-22.339,-27.649,52.856
0.313,-0.203,-0.101,-22.827,-25.513,46.265
0.312,-0.174,-0.093,-21.240,-21.057,32.593
0.286,-0.107,-0.070,-19.043,-18.250,23.560
0.269,-0.087,-0.064,-15.015,-14.954,11.414
0.252,-0.093,-0.071,-1.892,-7.812,-24.048
0.254,-0.281,-0.160,7.202,-4.883,-46.265
0.284,-0.467,-0.236,22.888,-1.648,-87.524
0.376,-0.945,-0.416,27.527,-0.549,-101.013
0.432,-1.224,-0.515,31.921,-0.061,-105.591
0.541,-1.767,-0.651,34.241,-0.671,-96.802
0.581,-1.962,-0.666,37.415,-0.793,-82.642
0.603,-2.071,-0.655,40.710,-2.930,-47.546
0.608,-2.036,-0.578,30.518,-7.996,-30.029
0.595,-1.914,-0.486,-6.470,-20.996,3.113
0.518,-1.557,-0.318,-16.174,-28.137,19.531
0.461,-1.366,-0.273,-21.423,-45.715,42.786
0.376,-1.067,-0.216,-22.888,-54.260,49.438
0.353,-0.958,-0.190,-22.827,-61.157,54.016
0.333,-0.861,-0.162,-14.221,-68.542,56.519
0.293,-0.675,-0.106,-9.766,-69.031,55.664
0.274,-0.584,-0.080,-8.911,-65.796,54.016
0.244,-0.414,-0.016,-9.460,-62.622,52.429
0.235,-0.344,0.013,-7.935,-53.406,44.739
0.229,-0.260,0.049,-6.836,-48.523,38.757
0.233,-0.240,0.053,-6.470,-44.434,32.227
0.235,-0.221,0.055,-4.272,-40.649,19.836
0.239,-0.173,0.068,-2.869,-39.673,14.282
0.227,-0.146,0.076,-0.183,-34.729,-1.160
0.206,-0.140,0.082,2.441,-31.738,-12.451
0.192,-0.188,0.090,11.353,-25.452,-43.945
0.198,-0.506,0.060,19.409,-20.325,-66.101
0.241,-0.791,0.013,28.564,-13.245,-89.661
0.303,-1.129,-0.055,40.649,6.470,-122.559
0.438,-1.850,-0.206,43.762,17.944,-125.061
0.509,-2.200,-0.283,71.411,36.255,-102.356
0.635,-2.624,-0.401,71.472,36.621,-78.308
0.672,-2.604,-0.342,15.015,14.709,-16.663
0.652,-2.157,-0.092,-12.146,-2.991,13.245
0.585,-1.830,-0.007,-29.663,-21.240,39.307
0.499,-1.513,0.022,-40.771,-53.894,75.684
0.374,-1.049,0.009,-38.574,-66.040,86.731
0.341,-0.888,0.003,-24.353,-79.956,97.778
0.279,-0.609,0.003,-16.785,-82.458,98.755
0.243,-0.480,0.006,-5.493,-81.238,94.543
0.181,-0.238,0.074,-4.578,-78.247,88.257
0.161,-0.141,0.139,-6.226,-72.693,78.125
0.153,-0.076,0.200,-13.062,-52.734,48.950
0.157,-0.040,0.273,-18.066,-40.955,33.813
0.160,-0.040,0.282,-31.128,-20.142,11.658
0.123,0.009,0.310,-36.072,-11.292,3.601
0.081,0.058,0.328,-36.560,-1.648,-6.470
0.035,0.091,0.338,-22.705,21.851,-42.053
-0.020,-0.038,0.334,-7.507,35.034,-69.580
-0.007,-0.252,0.295,35.339,63.477,-136.841
0.114,-1.002,0.064,57.373,74.280,-166.565
0.232,-1.527,-0.100,77.637,73.914,-189.941
0.581,-2.588,-0.348,71.777,63.538,-174.377
0.730,-2.906,-0.363,52.490,51.086,-139.587
0.790,-2.986,-0.300,-24.292,27.771,-38.147
0.651,-2.497,-0.026,-61.951,18.005,8.789
0.544,-2.106,0.089,-83.618,5.798,64.758
0.420,-1.462,0.155,-74.097,1.099,75.806
0.390,-1.243,0.144,-63.538,-3.235,81.543
0.335,-0.897,0.093,-47.729,-11.353,87.219
0.300,-0.742,0.076,-44.189,-15.503,87.708
0.263,-0.600,0.068,-37.720,-21.118,82.153
0.201,-0.365,0.078,-35.278,-22.339,76.477
0.186,-0.277,0.102,-41.504,-21.118,61.523
0.188,-0.150,0.187,-45.715,-17.578,53.406
0.198,-0.107,0.228,-48.340,-11.658,45.593
0.203,-0.061,0.262,-55.176,3.723,33.386
0.172,0.068,0.302,-59.753,12.512,27.771
0.126,0.144,0.311,-57.617,35.034,3.418
0.019,0.231,0.328,-47.119,48.950,-21.118
-0.015,0.166,0.314,-9.888,77.148,-95.825
0.035,-0.429,0.159,14.343,88.806,-137.146
0.154,-0.975,0.024,41.321,97.961,-170.837
0.322,-1.609,-0.124,87.158,104.919,-189.514
0.699,-2.778,-0.377,96.069,99.365,-168.335
0.848,-3.099,-0.402,43.396,70.435,-70.740
0.891,-2.890,-0.156,-8.667,53.772,-10.315
0.791,-2.473,0.029,-48.889,39.917,42.847
0.670,-2.002,0.168,-43.274,21.301,106.018
0.508,-1.292,0.157,-19.165,10.437,120.117
0.456,-1.068,0.123,-8.118,-19.409,136.597
0.371,-0.758,0.093,-4.944,-30.762,139.771
0.325,-0.629,0.068,2.441,-44.312,132.202
0.247,-0.414,0.012,8.179,-48.279,122.681
0.230,-0.345,-0.021,18.616,-52.063,111.328
0.221,-0.295,-0.038,40.100,-62.866,87.219
0.190,-0.183,0.038,37.964,-67.078,75.500
0.171,-0.113,0.114,8.240,-64.575,51.331
0.112,0.026,0.231,-2.747,-57.800,37.292
0.075,0.086,0.254,-6.714,-47.607,20.935
0.035,0.140,0.266,-3.052,-16.724,-21.423
-0.054,0.192,0.281,5.981,3.967,-50.110
-0.091,0.126,0.276,24.963,53.650,-128.357
-0.110,-0.293,0.172,27.527,80.078,-173.950
-0.102,-0.671,0.002,30.212,104.004,-218.567
0.110,-1.855,-0.574,46.509,120.361,-281.372
0.389,-2.525,-0.795,49.011,99.976,-278.748
0.700,-3.026,-0.818,3.662,17.517,-163.940
0.974,-3.055,-0.499,-24.963,-18.555,-66.284
0.840,-2.651,-0.315,-47.913,-27.954,87.708
0.520,-1.687,0.003,-54.321,-9.460,123.962
0.429,-1.294,0.077,-52.673,4.700,139.832
0.406,-1.022,0.115,-34.180,5.493,138.916
0.453,-0.726,0.135,-29.663,2.380,136.230
0.464,-0.616,0.112,-17.334,1.648,135.559
0.416,-0.368,0.052,-9.094,4.211,133.423
0.384,-0.245,0.031,5.127,14.282,118.347
0.349,-0.055,0.011,12.756,19.958,105.164
0.341,0.007,0.009,20.142,25.146,89.783
0.326,0.060,0.007,40.405,33.142,57.007
0.246,0.177,-0.006,52.063,36.987,37.781
0.715,-2.917,-1.223,61.646,36.438,-257.568
1.031,-3.405,-1.081,14.038,-49.072,-112.549
1.027,-3.171,-0.509,-18.127,-74.646,-9.460
0.809,-2.658,-0.424,-44.983,-87.280,143.433
0.524,-1.703,-0.471,-36.377,-93.323,174.805
0.482,-1.393,-0.405,-26.978,-103.516,188.110
0.469,-1.159,-0.281,-35.461,-118.408,199.585
0.440,-0.739,-0.076,-40.344,-119.507,203.308
0.400,-0.525,-0.021,-42.664,-116.211,199.036
