aX,aY,aZ,gX,gY,gZ
-0.677,1.230,-0.809,-106.689,194.702,92.163
-0.814,1.107,-0.911,-151.306,238.525,49.377
-1.091,0.880,-1.087,-170.532,258.972,28.320
-1.243,0.799,-1.207,-172.363,281.311,6.409
-1.544,0.663,-1.530,-152.283,320.129,-40.100
-1.681,0.597,-1.666,-144.104,330.811,-65.979
-1.825,0.499,-1.747,-147.644,340.210,-128.845
-2.198,0.122,-1.949,-155.396,346.619,-163.513
-2.388,-0.081,-2.191,-158.936,353.210,-223.450
-2.802,-0.390,-3.019,-146.790,339.661,-249.634
-3.049,-0.542,-3.547,-88.318,237.305,-315.796
-3.524,-0.919,-4.000,-39.734,142.334,-359.619
-3.794,-1.185,-4.000,15.686,24.353,-408.752
-3.997,-1.511,-4.000,190.308,-252.686,-527.710
-4.000,-2.542,-3.989,350.769,-398.865,-613.892
-4.000,-3.368,-3.997,741.211,-726.562,-892.212
-3.995,-4.000,-3.788,836.182,-913.940,-1065.125
-3.999,-4.000,-3.049,699.341,-1291.992,-1238.708
-4.000,-3.976,-0.716,578.186,-1442.016,-1174.866
-4.000,-3.983,0.689,426.086,-1567.688,-1034.058
-4.000,-3.997,2.524,-14.709,-1602.173,-561.157
-3.423,-3.747,4.000,-83.740,-1304.748,-319.092
-1.500,-2.988,4.000,498.779,-406.433,-186.035
1.177,-2.457,3.565,634.521,-202.393,-187.683
-0.164,-2.774,1.908,275.818,-186.218,148.560
-3.495,-1.589,-2.839,76.538,-150.391,259.155
-3.803,-0.574,-3.558,-0.916,-81.604,264.832
-3.516,0.050,-2.850,14.282,-168.701,285.583
-2.857,0.131,0.671,-2.380,-294.312,274.963
-2.827,-0.016,1.854,-82.642,-279.724,205.627
-2.438,-0.057,2.325,-72.449,-181.824,162.598
-2.178,-0.112,2.155,-11.963,-80.505,57.922
-1.682,-0.407,1.232,-2.563,-75.928,12.634
-1.453,-0.656,0.660,-13.855,-79.041,-21.362
-1.287,-0.969,0.220,-76.294,-88.013,-39.612
-1.073,-1.508,0.102,-92.346,-89.661,-17.151
-0.974,-1.596,0.378,-72.571,-61.218,63.721
-0.959,-1.473,1.067,-63.477,-26.001,104.248
-1.020,-1.319,1.272,-29.968,55.786,158.936
-1.044,-0.955,1.233,3.662,84.717,169.250
-1.036,-0.822,1.058,28.748,97.717,164.978
-1.036,-0.730,0.864,11.108,90.149,126.221
